No.,事業所番号,サービス種類名,事業所名,事業所郵便番号,事業所住所,事業所電話番号,申請者名,緯度,経度
1,1870100037,介護老人福祉施設,宝珠苑,910-3116,福井市内山梨子町2－3－1,0776-83-1373,社会福祉法人 福聚会,36.134830,136.157346
2,1870100045,介護老人福祉施設,たんぽぽ苑,910-0125,福井市石盛3丁目301,0776-56-0992,社会福祉法人 千寿会,36.118642,136.236688
3,1870100052,介護老人福祉施設,足羽利生苑,910-2178,福井市栂野町20－7,0776-41-3121,社会福祉法人 足羽福祉会,36.038827,136.258052
4,1870100060,介護老人福祉施設,愛全園（従来型）,910-0835,福井市丸山町40－7,0776-53-5411,社会福祉法人 足羽福祉会,36.077608,136.251489
5,1870100169,介護老人福祉施設,文珠苑,919-0317,福井市北山町35－5－1,0776-41-7500,社会福祉法人 文珠福祉会,36.001552,136.250848
6,1870100177,介護老人福祉施設,藤島園,910-0804,福井市高木中央3丁目1701番地,0776-52-1166,社会福祉法人 藤島会,36.092418,136.239624
7,1870100185,介護老人福祉施設,高雄苑,918-8076,福井市本堂町51－33,0776-37-0116,社会福祉法人 安居福祉会,36.056345,136.126675
8,1870100227,介護老人福祉施設,あさむつ苑,918-8156,福井市引目町21－9－2,0776-38-9280,社会福祉法人 新清会,36.022468,136.197299
9,1870100250,介護老人福祉施設,悠和園,910-3378,福井市免鳥町22－74,0776-87-2161,社会福祉法人 鷹山会,36.130931,136.074832
10,1870100391,介護老人福祉施設,愛寿苑,918-8055,福井市若杉2－601,0776-34-5100,社会福祉法人 弥生福祉会,36.055227,136.190680
11,1870100409,介護老人福祉施設,あさくら苑,918-8135,福井市下六条町18－32,0776-41-8400,社会福祉法人 一乗谷友愛会,36.035180,136.229466
12,1870100441,介護老人福祉施設,山翠苑,918-8221,福井市堅達町24－1,0776-53-2586,社会福祉法人 慈豊会,36.074986,136.271240
13,1870100466,介護老人福祉施設,新田塚ハウス,910-3113,福井市江上町55-5,0776-59-1800,社会福祉法人 白寿院,36.131085,136.164113
14,1870101563,介護老人福祉施設,美山貴寿苑,910-2222,福井市市波町31－2,0776-96-4150,社会福祉法人 美山友愛会,36.016240,136.330821
15,1870101597,介護老人福祉施設,すみれ荘,910-3623,福井市島寺町83－1,0776-98-5550,社会福祉法人 清水新生会,36.017332,136.142270
16,1870101639,介護老人福祉施設,こしの渚苑（従来型）,910-3553,福井市蒲生町第1号90番地1,0776-89-2110,社会福祉法人 健楽会,36.038163,136.011174
17,1870101803,介護老人福祉施設,ＨＯＭＥ ＴＯＷＮ コスモス,919-0324,福井市帆谷町1字外山33,0776-38-1159,社会福祉法人 おおた福祉会,36.007522,136.236136
18,1870101811,介護老人福祉施設,モアヤング こもれびホーム,918-8235,福井市和田中町東沖田30番地の1,0776-28-3787,社会福祉法人 祥穂会,36.050451,136.257518
19,1870102603,介護老人福祉施設,こしの渚苑（ユニット型）,910-3553,福井市蒲生町第1号90番地1,0776-89-2110,社会福祉法人 健楽会,36.038163,136.011174
20,1870102686,介護老人福祉施設,愛全園（ユニット型）,910-0835,福井市丸山町40－7,0776-53-5411,社会福祉法人 足羽福祉会,36.077608,136.251489
21,1870102884,介護老人福祉施設,特別養護老人ホーム たぶのき,910-0001,福井市大願寺3丁目3－6,0776-27-4140,社会福祉法人 福井ゆうあい会,36.081664,136.228142
22,1850180025,介護老人保健施設,福井ケアセンター,910-0021,福井市乾徳4－5－8,0776-26-5155,医療法人 穂仁会,36.071531,136.205034
23,1850180033,介護老人保健施設,九頭竜長生苑,910-0801,福井市寺前町2－2－2,0776-54-4681,社会福祉法人 福泉会,36.103219,136.234224
24,1850180041,介護老人保健施設,ヴィラ岩井,910-0859,福井市日之出2丁目13－2,0776-24-0177,医療法人 社団成蹊会,36.063563,136.227303
25,1850180066,介護老人保健施設,アルマ千寿,910-0102,福井市川合鷲塚町49－5,0776-55-1600,医療法人 千寿会,36.113294,136.212614
26,1850180074,介護老人保健施設,新田塚ハイツ,910-0064,福井市新田塚506,0776-22-8367,社会福祉法人 白寿院,36.088252,136.210124
27,1850180082,介護老人保健施設,福井県済生会介護老人保健施設 ケアホーム・さいせい,918-8235,福井市和田中町110字徳万28,0776-30-7660,社会福祉法人恩賜財団 済生会支部 福井県済生会,36.045902,136.253330
28,1850180090,介護老人保健施設,あじさい,918-8041,福井市西下野町15－12,0776-33-5911,社会福祉法人 寿の会,36.065424,136.164502
29,1850180108,介護老人保健施設,介護療養型老人保健施設さくら,918-8013,福井市花堂東2丁目408番地,0776-34-3500,医療法人社団 泉水会,36.041704,136.222801
30,1850180116,介護老人保健施設,介護老人保健施設 ひかりケアホーム,918-8104,福井市板垣5丁目201番地,0776-33-1600,医療法人 雄久会,36.044192,136.228101
31,18B0100012,介護医療院,福井リハビリテーション病院介護医療院,910-0046,福井市南楢原町20字大畑2番地,0776-59-1126,医療法人 穂仁会,36.097848,136.179839
32,18B0100038,介護医療院,介護医療院　まこと,918-8104,福井市板垣5丁目201番地,0776-33-1600,医療法人 雄久会,36.044192,136.228101
