No.,元号,年次,医師,歯科医師,薬剤師,助産師,保健師,正看護師,准看護師
1,平成,2年,526,116,453,60,60,1660,1119
2,平成,4年,754,127,458,71,73,2058,1181
3,平成,6年,567,135,489,68,61,1880,1224
4,平成,8年,594,132,514,72,81,2010,1252
5,平成,10年,642,139,500,71,77,2266,1367
6,平成,12年,679,150,549,76,97,2449,1362
7,平成,14年,694,154,575,87,110,2616,1396
8,平成,16年,746,156,576,95,153,2840,1377
9,平成,18年,801,160,591,98,189,3043,1278
10,平成,20年,824,171,588,105,197,3340,1257
11,平成,22年,841,178,628,107,226,3572,1227
12,平成,24年,873,189,640,105,230,3773,1213
13,平成,26年,889,191,684,119,227,3949,1140
14,平成,28年,910,196,665,131,232,4215,1096
15,平成,30年,935,201,677,137,155,4439,1051
16,令和,2年,997,216,680,140,158,4522,918
17,令和,4年,1004,193,687,139,179,4654,894
