No.,名称,所在地,電話番号,ＦＡＸ番号,主な対象者(身体),主な対象者(知的),主な対象者(精神),設置主体(法人)の名称,緯度,経度
1,ラートハウス,大手３丁目１０－１　福井市庁舎本館　地下１階,(０７７６)９７－９９２８,(０７７６)９７－９９２８,●,●,●,特定非営利活動法人　ハートランド福井,36.064078,136.219568
2,松本ファクトリー,松本１丁目２－１９,(０７７６)４１－４０６０,(０７７６)４１－４１６０,,,●,社会福祉法人　六条厚生会,36.07161,136.232503
3,株式会社　水野製作所,市波町１７号１２番地,(０７７６)９６－４２１７,(０７７６)９６－４９２６,●,●,●,株式会社　水野製作所,36.020173,136.326253
4,青空,江端町２１－４,(０７７６)３９－０５７７,(０７７６)３９－０５８８,●,●,●,株式会社　ＮＥＸＴ,36.028257,136.213463
5,株式会社　Ｏ．Ｈ．Ｃ,江端町１３－４３,(０７７６)９７－５３９９,(０７７６)９７－５３９８,●,●,●,株式会社　Ｏ．Ｈ．Ｃ,36.031701,136.213303
6,株式会社　ふくい福祉振興会,和田東１－２３２３,(０７７６)６０－００２５,(０７７６)６０－００３０,●,●,●,株式会社　ふくい福祉振興会,36.051913,136.245976
7,エイティーンス物流加工㈱,栄町１１番地,(０７７６)９７－５４１８,(０７７６)９７－６４１８,●,●,●,エイティーンス物流加工　株式会社,36.109946,136.224659
8,有限会社　Ｃ・ネットサービス　,下河北町１１－１５－１,(０７７６)３８－５７５７,(０７７６)３８－５７６０,●,●,●,有限会社　Ｃ・ネットサービス　,36.019834,136.215346
9,株式会社　ＹＯＵさぽーと,和田中１丁目７０９番地,(０７７６)２７－４７３１,(０７７６)２７－４７３２,●,●,●,株式会社　Ｙｏｕさぽーと,36.057679,136.250104
10,"一般社団法人　ほのぼのハーツ
ふくい事業所",開発５丁目１５０５,(０７７６)５２－１７８２,(０７７６)５２－１６８２,●,●,●,一般社団法人　ほのぼのハーツ,36.087508,136.243101
11,ハピネス,中央２丁目９番地１,(０７７６)５０－２８０５,(０７７６)５０－２８０６,●,●,●,合同会社　ＷＩＮＧＲＯＷ,36.058517,136.219028
12,ワークハウス,松本１丁目５６－１２,(０７７６)５０－７４６１,(０７７６)５０－７４６２,,●,●,有限会社　ワークハウス,36.076335,136.232004
13,ホープあけぼの,河水町５－１－３,(０７７６)５２－６０７０,(０７７６)５２－６０７１,●,●,,社会福祉法人　竹伸会,36.0556,136.275708
14,Ｃ＆Ｃサービス,文京２丁目１１－４,(０７７６)２７－５８００,(０７７６)２７－５８００,,,●,特定非営利活動法人　こころ,36.078435,136.218456
15,株式会社　つばさ,高柳１丁目２０３,(０７７６)４３－９９１６,(０７７６)４３－９９１７,●,●,●,株式会社　つばさ,36.089908,136.242604
16,ワンネスサポート株式会社,大町１丁目７１１,(０７７６)５０－２１５０,(０７７６)５０－２１５９,●,●,●,ワンネスサポート株式会社,36.036797,136.219338
17,えばた工房,江端町２０－１－３,(０７７６)４３－１３６１,(０７７６)３８－４４７１,,,●,社会福祉法人　六条厚生会,36.026026,136.212873
18,ネクステクノ,高柳１丁目１３０２番地,(０７７６)５４－７６６５,(０７７６)５４－７６７１,●,●,●,ネクスタス　株式会社,36.090129,136.243778
19,前進主義　ふくい,菅谷１－５－２１,(０７７６)２６－３３３５,(０７７６)２６－３３３４,●,●,●,株式会社　スタンドトゥギャザー,36.071900,136.193240
20,Ｇ・Ｓ・Ｉ,大手１丁目１－１７,(０７７６)２３－３２３５,(０７７６)２３－３０２７,●,●,●,株式会社　Ｇ・Ｓ・Ｉ,36.065644,136.226303
