No.,事業所番号,サービス種類名,事業所名,事業所郵便番号,事業所住所,事業所電話番号,申請者名,緯度,経度
1,1890100173,地域密着型介護老人福祉施設入所者生活介護,かわにし苑,910-3143,福井市砂子坂町第9号5番地,0776-83-1055,社会福祉法人 健愛会,36.146217,136.147236
2,1890100249,地域密着型介護老人福祉施設入所者生活介護,地域密着型特別養護老人ホーム なの花,918-8057,福井市加茂河原3丁目1－22,0776-36-8784,社会福祉法人 町屋福祉会,36.063573,136.193447
3,1890100264,地域密着型介護老人福祉施設入所者生活介護,六条ホームやわらぎ,918-8135,福井市下六条町217番4,0776-41-8600,社会福祉法人 六条厚生会,36.036642,136.234206
4,1890100330,地域密着型介護老人福祉施設入所者生活介護,第二ひかり苑 泉の郷,918-8213,福井市今泉町25－15－1,0776-52-1300,社会福祉法人 慈心会,36.068028,136.253450
5,1890100348,地域密着型介護老人福祉施設入所者生活介護,小規模特別養護老人ホーム 花むつ苑,918-8014,福井市花堂中1丁目5－6,0776-34-8762,社会福祉法人 新清会,36.039107,136.215253
6,1890100454,地域密着型介護老人福祉施設入所者生活介護,地域密着型介護老人福祉施設 東安居苑,918-8063,福井市大瀬町23字101番,0776-35-0838,社会福祉法人 健楽会,36.069676,136.185147
7,1890100462,地域密着型介護老人福祉施設入所者生活介護,松本ホームやわらぎ,910-0003,福井市松本1丁目2－19,0776-26-4165,社会福祉法人 六条厚生会,36.071604,136.232498
8,1890100645,地域密着型介護老人福祉施設入所者生活介護,第２藤島園 そよかぜホーム,910-0105,福井市河合勝見町第4号24－1,0776-55-1313,社会福祉法人 藤島会,36.112942,136.200121
9,1890100660,地域密着型介護老人福祉施設入所者生活介護,地域密着型介護老人福祉施設 足羽利生苑,910-2178,福井市栂野町20－7,0776-41-3121,社会福祉法人 足羽福祉会,36.038827,136.258052
10,1890100686,地域密着型介護老人福祉施設入所者生活介護,地域密着型介護老人福祉施設 あるば・あい,910-0859,福井市日之出3－16－18,0776-21-0181,社会福祉法人 福寿会,36.061604,136.229942
11,1890100835,地域密着型介護老人福祉施設入所者生活介護,地域密着型特別養護老人ホームあたご,918-8007,福井市足羽5丁目5番17号,0776-33-7080,社会福祉法人 あすなろ会,36.057919,136.198280
12,1890100942,地域密着型介護老人福祉施設入所者生活介護,小規模特別養護老人ホーム 桜手苑,910-0005,福井市大手2丁目22-18,0776-26-7070,社会福祉法人 新清会,36.066484,136.223496
13,1890101098,地域密着型介護老人福祉施設入所者生活介護,レインボー二の宮,910-0015,福井市二の宮2丁目8番21号,0776-21-2821,社会福祉法人 福井康久会,36.084554,136.224642
14,1890101155,地域密着型介護老人福祉施設入所者生活介護,ほたるの杜,918-8075,福井市羽坂町33‐1‐1,0776-37-0115,社会福祉法人 安居福祉会,36.060083,136.137423
15,1890101262,地域密着型介護老人福祉施設入所者生活介護,ユニット型特別養護老人ホーム　パークスみなみ,918-8152,福井市今市町65-11-1,0776-38-8850,社会福祉法人 白山会,36.022103,136.209744
