No.,名称,所在地,電話番号,ＦＡＸ番号,併設サービス(重度訪問),併設サービス(行動援護),併設サービス(同行援護),主な対象者(身体),主な対象者(知的),主な対象者(精神),主な対象者(障害児),設置主体(法人)の名称,緯度,経度
1,ＳＯＭＰＯケア福井 訪問介護,城東１丁目２番１３号,(０７７６)２８－２３９０,(０７７６)２８－２３９１,●,,,●,●,●,●,ＳＯＭＰＯケア株式会社,36.060261,136.232098
2,"公益財団法人　福井市ふれあい公社
ホームヘルプサービスセンター",日之出４丁目３番１２号,(０７７６)２０－５１０１,(０７７６)２０－５７８１,,,●,●,●,●,●,公益財団法人　福井市ふれあい公社,36.064515,136.231680
3,"ホットライン・ケアサポート
センター・たんぽぽ",光陽２丁目１７－８,(０７７６)２３－１５５８,(０７７６)２３－０５２４,,,●,●,,,,社会福祉法人　福井県視覚障害者福祉協会,36.065395,136.198875
4,仁愛訪問介護事業所,乾徳４丁目４－７,(０７７６)２６－６６８８,(０７７６)３０－８３８０,●,,,●,●,,●,株式会社　仁愛ケアサービス,36.071178,136.205608
5,ニチイケアセンター成和,城東２丁目１４－１,(０７７６)２８－１４７０,(０７７６)２８－１５０８,●,,"△
（休止中）",●,●,●,●,株式会社　ニチイ学館,36.061877,136.236152
6,ヘルパーステーションいなほ,江端町２０字２０－２４,(０７７６)４１－３９９５,(０７７６)４１－３５０２,,,,●,●,●,●,株式会社　福井メディックス,36.025959,136.212363
7,"特定非営利活動法人
コム・サポートプロジェクト",手寄１丁目４番１号ＡＯＳＳＡ３階,(０７７６)２５－１０５７,(０７７６)２５－１０４０,●,,,●,●,,●,特定非営利活動法人　コム・サポートプロジェクト,36.060598,136.223491
8,光陽ホームヘルパーステーション,光陽３丁目１０－２４,(０７７６)２４－９９９７,(０７７６)２４－９９７８,●,,,●,●,●,●,福井県医療生活協同組合,36.065506,136.195369
9,ＪＡ福井県ヘルパーステーションわかば,渕４丁目６０６,(０７７６)３３－８１６８,(０７７６)３３－２３１１,,,●,●,,,,福井県農業協同組合,36.045641,136.185389
10,ケアサービスさくら,順化１丁目１０－７,(０７７６)２５－０４０１,(０７７６)２５－０４０３,●,,,●,●,●,●,有限会社　プラン２１,36.063915,136.216688
11,有限会社　稲木ケア・サービス,上北野２丁目２２－９,(０７７６)５４－２７３４,(０７７６)５３－３２１８,●,,,●,●,,●,有限会社　稲木ケア・サービス,36.058797,136.251473
12,福井新世紀ケアサービス,栗森１丁目１０２,(０７７６)５６－４６６０,(０７７６)５６－４６６１,,,,●,●,●,●,有限会社　福井新世紀ケアサービス,36.116391,136.238603
13,花園ホームヘルパーステーション,松本１丁目３６－１５,(０７７６)２９－１１８８,(０７７６)２９－１１５４,●,●,●,●,●,●,●,社会福祉法人　町屋福祉会,36.075677,136.231975
14,訪問介護まごのて福井,丸山１丁目２０８,(０７７６)９７－５２３４,(０７７６)９７－５２２４,●,●,,●,●,●,●,ライフプラス株式会社,36.073711,136.244116
15,アースサポート福井,灯明寺１丁目１４０３,(０７７６)２８－９２１１,(０７７６)２８－９２１２,●,,,●,●,●,●,アースサポート株式会社　,36.090561,136.209535
16,在宅支援輝き,加茂河原２丁目２１－２０,(０７７６)７６－０５００,(０７７６)７６－０５００,●,,,●,●,●,,株式会社　在宅支援輝き,36.061674,136.192581
17,ヘルパーステーションこころ弐,三十八社町４０１－２２,(０７７６)９７－８０１７,(０７７６)３９－１１８５,●,●,,●,●,●,●,株式会社　ＲｅＡＬ,36.00371,136.18427
