No.,元号,年次,病院,病院病床数,診療所,診療所病床数,歯科診療所,薬局
1,平成,元年,41,5796,188,1151,89,88
2,平成,2年,40,5765,187,1267,97,88
3,平成,3年,41,5744,175,1297,93,88
4,平成,4年,40,5801,209,1247,107,88
5,平成,5年,39,5793,200,1255,110,86
6,平成,6年,38,5776,199,1229,114,88
7,平成,7年,39,5795,205,1198,118,94
8,平成,8年,39,5745,208,1181,118,96
9,平成,9年,38,5751,216,1250,117,96
10,平成,10年,39,5877,208,1169,112,99
11,平成,11年,38,5805,218,1139,114,97
12,平成,12年,37,5804,224,1040,115,100
13,平成,13年,37,5770,222,1033,110,99
14,平成,14年,36,5708,226,1018,113,95
15,平成,15年,36,5704,224,973,112,97
16,平成,16年,35,5641,230,1006,112,97
17,平成,17年,34,5596,240,1039,113,92
18,平成,18年,35,5680,248,945,116,92
19,平成,19年,35,5703,251,907,116,92
20,平成,20年,31,5551,251,891,118,89
21,平成,21年,31,5515,256,860,124,96
22,平成,22年,30,5478,255,848,128,100
23,平成,23年,29,5407,260,855,130,95
24,平成,24年,29,5326,259,819,134,97
25,平成,25年,27,5183,259,763,137,100
26,平成,26年,27,5183,260,752,139,106
27,平成,27年,27,5183,260,720,134,109
28,平成,28年,27,5181,268,692,143,109
29,平成,29年,27,5181,256,654,136,108
30,平成,30年,27,5091,255,573,138,113
31,令和,元年,27,4928,226,525,139,119
32,令和,2年,27,4916,266,494,141,114
33,令和,3年,27,4839,269,443,139,120
34,令和,4年,27,4800,265,407,138,120
35,令和,5年,27,4716,263,394,133,125
36,令和,6年,27,4637,262,347,132,131
