No.,名称,所在地,電話番号,ＦＡＸ番号,主な対象者(身体),主な対象者(知的),主な対象者(精神),設置主体(法人)の名称,緯度,経度
1,前進主義　ふくい　移行支援,菅谷２丁目７－５,(０７７６)９７－９００３,(０７７６)９７－９０１３,●,●,●,株式会社　スタンドトゥギャザー,36.072157,136.192721
2,"障害者就労支援事業所
夢つづきの家",月見２丁目１０－１,(０７７６)３３－３７６０,(０７７６)３３－３７６１,●,●,●,社会福祉法人　慶長会,36.045595,136.214778
3,ＪＯＢＴＯＲＥ　ＰＬＵＳ,大手３丁目１－１５ ビアンモア大手ビル８階,(０７７６)８８－０６１０,(０７７６)８８－０６１１,●,●,●,株式会社　ＷＡＬＬＥＳＳ,36.063174,136.220358
4,パステル,御幸４丁目１８０６,(０７７６)８９－１５５８,(０７７６)８９－１５５７,●,●,●,社会福祉法人　足羽福祉会,36.056684,136.240309
5,ＦＬＡＰ,中央１丁目２１－３７リベラルアーツ３階３０２,(０７７６)６３－５３４１,(０７７６)６３－５３４２,●,●,●,一般社団法人　タクティクス福井,36.060485,136.220153
