No.,分類,保育園名,保育園名_かな,所在地,電話番号,開園時刻,閉園時刻,送迎バス,緯度,経度
1,市立保育園,西部保育園,せいぶ,福井市花月2丁目10-10,0776-22-0072,07:30:00,18:30:00,,36.069282,136.208773
2,市立保育園,北部保育園,ほくぶ,福井市松本2丁目7-26,0776-20-5411,07:30:00,18:30:00,,36.071974,136.228433
3,市立保育園,日之出保育園,ひので,福井市日之出5丁目14-1,0776-54-0041,07:00:00,19:00:00,,36.065995,136.234057
4,市立保育園,湊保育園,みなと,福井市光陽1丁目9-8,0776-22-0061,07:30:00,18:30:00,,36.067552,136.203678
5,市立保育園,西藤島保育園,にしふじしま,福井市三郎丸1丁目1414,0776-22-8851,07:30:00,18:30:00,,36.079523,136.193947
6,市立保育園,御幸保育園,みゆき,福井市御幸2丁目7-29,0776-22-0062,07:00:00,19:00:00,,36.057170,136.230538
7,市立保育園,社保育園,やしろ,福井市種池1丁目811,0776-36-0065,07:30:00,18:30:00,,36.035279,136.191539
8,市立保育園,河合保育園,かわい,福井市山室町10-7,0776-55-0109,07:30:00,18:30:00,,36.118758,136.193056
9,市立保育園,清明保育園,せいめい,福井市江端町32-67,0776-38-2633,07:30:00,18:30:00,,36.027766,136.210255
10,市立保育園,西安居保育園,にしあご,福井市本堂町8-31-1,0776-37-1231,07:30:00,18:30:00,,36.059833,136.135089
11,市立保育園,松本保育園,まつもと,福井市幾久町7-17,0776-22-0068,07:30:00,18:30:00,,36.081326,136.226289
12,市立保育園,上北野保育園,かみきたの,福井市上北野1丁目22-46,0776-54-0069,07:00:00,19:00:00,,36.062109,136.250176
13,市立保育園,啓蒙保育園,けいもう,福井市開発1丁目1910,0776-54-0070,07:30:00,18:30:00,,36.077294,136.243588
14,市立保育園,牧島保育園,まきのしま,福井市文京3丁目26-23,0776-22-0071,07:30:00,18:30:00,,36.079896,136.210754
15,市立保育園,本郷保育園,ほんごう,福井市大年町1-56,0776-83-0549,07:30:00,18:30:00,,36.116795,136.141461
16,市立保育園,森田東保育園,もりたひがし,福井市上森田4丁目302,0776-56-0249,07:30:00,18:30:00,,36.113185,136.235166
