No.,分類,保育園名,保育園名_かな,所在地,電話番号,開園時刻,閉園時刻,送迎バス,緯度,経度
17,市立保育園,森田浜保育園,もりたはま,福井市栗森町浜603,0776-56-0482,07:00:00,19:00:00,,36.114420,136.241690
18,市立認定こども園,六条こども園,ろくじょう,福井市天王町21-1-1,0776-41-1140,07:30:00,18:30:00,,36.027097,136.234578
19,市立認定こども園,文殊こども園,もんじゅ,福井市太田町14-1,0776-38-0221,07:30:00,18:30:00,,36.011652,136.230226
20,市立認定こども園,鶉こども園,うずら,福井市砂子坂町6-20,0776-83-0160,07:30:00,18:30:00,,36.143450,136.145951
21,市立認定こども園,棗こども園,なつめ,福井市石新保町13-17,0776-85-1130,07:30:00,18:30:00,,36.145170,136.108148
22,市立認定こども園,東藤島こども園,ひがしふじしま,福井市藤島町46-13-1,0776-54-4355,07:30:00,18:30:00,,36.086494,136.271483
23,市立認定こども園,麻生津こども園,あそうづ,福井市浅水二日町131-18,0776-38-1356,07:30:00,18:30:00,,36.001692,136.196930
24,市立認定こども園,東郷こども園,とうごう,福井市東郷二ケ町37-18,0776-41-0152,07:30:00,18:30:00,,36.015531,136.273060
25,市立認定こども園,みやま保育園,みやま,福井市境寺町36-3,0776-90-1361,07:00:00,19:00:00,,35.998242,136.364524
26,私立保育園,緑ヶ丘保育園,みどりがおか,福井市鮎川町92-23,0776-88-2050,07:00:00,18:30:00,○,36.091776,136.033820
27,私立保育園,中藤保育園,なかふじ,福井市高木北4丁目301-1,0776-54-5540,07:00:00,19:00:00,,36.096503,136.235065
28,私立保育園,西光寺保育園,さいこうじ,福井市左内町8-21,0776-36-1528,07:30:00,19:00:00,,36.058319,136.212974
29,私立保育園,仁愛保育園,じんあい,福井市天池町41-14,0776-56-2688,07:30:00,19:00:00,,36.104056,136.217177
30,私立保育園,ゆきんこ森田保育園,ゆきんこもりた,福井市石盛町415,0776-50-2273,07:00:00,19:00:00,,36.117468,136.223539
31,私立認定こども園,いずみこども園,いずみ,福井市若杉浜2丁目302,0776-35-0123,07:30:00,19:00:00,,36.062118,136.186936
32,私立認定こども園,幼保連携型認定こども園 竹里,たけさと,福井市成和1丁目303,0776-26-1364,07:30:00,18:30:00,,36.058632,136.244811
33,私立認定こども園,めぐみこども園,めぐみ,福井市久喜津町34-1,0776-36-5057,07:00:00,19:00:00,○,36.050175,136.179160
34,私立認定こども園,青い鳥こども園,あおいとり,福井市中央2丁目7-23,0776-21-2817,07:00:00,10:00:00 PM,,36.059325,136.218071
35,私立認定こども園,さくら認定こども園,さくら,福井市文京1丁目30-1,0776-26-1192,07:00:00,18:30:00,,36.078621,136.224352
36,私立認定こども園,足羽東こども園,あすわひがし,福井市東大味町10-1-1,0776-41-3122,07:00:00,19:00:00,○,35.995026,136.258948
37,私立認定こども園,幼保連携型認定こども園 あさかぜ,あさかぜ,福井市渕1丁目3211,0776-35-7160,07:00:00,19:00:00,,36.037989,136.191547
38,私立認定こども園,幼保連携型認定こども園 三谷館,みたにかん,福井市中央2丁目12-15,0776-20-5405,07:00:00,19:00:00,,36.057079,136.219341
39,私立認定こども園,認定こども園 エンゼル保育園,えんぜるほいくえん,福井市西谷2丁目702,0776-33-0200,07:00:00,19:00:00,○,36.038177,136.205244
40,私立認定こども園,しみずこども園,しみず,福井市風巻町28-5,0776-98-3660,07:00:00,19:00:00,○,36.027514,136.148037
41,私立認定こども園,ひまわりこども園,ひまわり,福井市足羽3丁目2-28,0776-35-2417,07:30:00,19:00:00,○,36.057023,136.204974
42,私立認定こども園,社中央第一こども園,やしろちゅうおうだいいち,福井市渕4丁目1005,0776-36-0695,07:00:00,18:30:00,,36.045425,136.184527
43,私立認定こども園,和田こども園,わだ,福井市和田3丁目907,0776-26-3297,07:00:00,19:00:00,,36.049082,136.245616
44,私立認定こども園,玉ノ江こども園,たまのえ,福井市大島町柳504,0776-36-7634,07:00:00,19:00:00,○,36.033683,136.207224
45,私立認定こども園,社中央第二こども園,やしろちゅうおうだいに,福井市運動公園1丁目3903,0776-36-8403,07:00:00,18:30:00,,36.050253,136.179066
46,私立認定こども園,あさひこども園,あさひ,福井市栂野町2-53,0776-41-3022,07:00:00,19:00:00,○,36.034980,136.251405
47,私立認定こども園,みづこしこども園,みづこし,福井市豊岡1丁目11-15,0776-22-1010,07:00:00,19:00:00,,36.069646,136.192906
48,私立認定こども園,認定こども園　花園,はなぞの,福井市松本1丁目36-15,0776-26-6280,07:00:00,19:00:00,,36.075666,136.231895
49,私立認定こども園,えばたこども園,えばた,福井市江端町12-9,0776-38-3335,07:00:00,19:00:00,,36.028616,136.215694
50,私立認定こども園,三心わくわくこども園,さんしんわくわく,福井市高木中央1丁目2307,0776-53-3063,07:00:00,19:00:00,,36.089882,136.232665
51,私立認定こども園,杉の木台こども園,すぎのきだい,福井市中野1丁目2105,0776-38-3588,07:00:00,19:00:00,○,36.000473,136.186464
52,私立認定こども園,認定こども園　鷹巣ひかり,たかすひかり,福井市西二ツ屋町9-8,0776-86-1066,07:00:00,19:00:00,○,36.135609,136.079926
53,私立認定こども園,清水台こども園,しみずだい,福井市グリーンハイツ1丁目128,0776-98-2135,07:00:00,19:00:00,,36.045490,136.158455
54,私立認定こども園,やわらぎ木田認定こども園,やわらぎきだ,福井市木田2丁目1701,0776-34-8260,07:00:00,19:00:00,,36.045751,136.224750
55,私立認定こども園,三心えんざん認定こども園,さんしんえんざん,福井市今泉町25-16-1,0776-53-2666,07:00:00,19:00:00,,36.067643,136.253728
56,私立認定こども園,認定こども園　木の実,このみ,福井市北四ツ居1丁目30-15,0776-52-1801,07:00:00,19:00:00,,36.064720,136.247659
57,私立認定こども園,たんぽぽこども園,たんぽぽ,福井市栗森2丁目2701,0776-56-1777,07:00:00,19:00:00,,36.117050,136.238627
58,私立認定こども園,鹿苑こども園,ろくおん,福井市みのり2丁目3-44,0776-35-2075,07:00:00,19:00:00,,36.050947,136.213500
59,私立認定こども園,文京こども園,ぶんきょう,福井市文京4丁目9-14,0776-22-4730,07:00:00,19:00:00,,36.075976,136.209235
60,私立認定こども園,経田こども園,きょうでん,福井市二の宮3丁目6-18,0776-21-2420,07:00:00,19:00:00,,36.083962,136.216326
61,私立認定こども園,はちまんこども園,はちまん,福井市月見4丁目18-4,0776-36-7005,07:00:00,18:30:00,,36.046059,136.207696
62,私立認定こども園,あさむつこども園,あさむつ,福井市下荒井町4-76,0776-38-9605,07:30:00,19:00:00,,36.027889,136.206964
63,私立認定こども園,若草こども園,わかくさ,福井市城東2丁目10-13,0776-22-6485,07:00:00,19:00:00,,36.060212,136.236031
64,私立認定こども園,ゆりかご認定こども園,ゆりかご,福井市灯明寺3丁目2515,0776-25-2717,07:30:00,19:00:00,,36.096759,136.212570
65,私立認定こども園,岡保こども園,おかぼ,福井市河水町18-10,0776-54-5825,07:00:00,19:00:00,○,36.051007,136.273329
66,私立認定こども園,日光こども園,にっこう,福井市日光2丁目22-20,0776-26-2700,07:30:00,18:30:00,,36.072078,136.198166
67,私立認定こども園,ゆきんこ光陽こども園,ゆきんここうよう,福井市光陽2丁目23-25,0776-24-3584,07:00:00,19:00:00,,36.064633,136.201596
68,私立認定こども園,ふじしまこども園,ふじしま,福井市四ツ井1丁目7-11,0776-52-2110,07:00:00,19:00:00,,36.066455,136.235928
69,私立認定こども園,中藤東こども園,なかふじひがし,福井市高柳3丁目3206,0776-53-6633,07:00:00,19:00:00,,36.098006,136.240398
70,私立認定こども園,新田塚こども園,にったづかこどもえん,福井市新田塚1丁目42-1,0776-21-1373,07:00:00,19:00:00,,36.092752,136.205577
71,私立認定こども園,めいりんこども園,めいりん,福井市花堂東2丁目210,0776-33-7716,07:00:00,19:00:00,,36.042853,136.222807
72,私立認定こども園,なのはなこども園,なのはな,福井市下森田藤巻町201番地,0776-56-1600,07:00:00,19:00:00,,36.110117,136.229151
73,私立認定こども園,認定こども園 ひばり,ひばり,福井市石盛2丁目210番地,0776-56-0150,07:00:00,18:30:00,,36.118426,136.231708
74,私立認定こども園,森田さくらこども園,もりたさくら,福井市上野本町4丁目2408,0776-56-1193,07:00:00,6:30:00 PM,,36.113331,136.247634
75,私立認定こども園,認定こども園 昭和幼稚園,しょうわ,福井市みのり1丁目29-1,0776-36-2602,07:00:00,19:00:00,○,36.048073,136.216360
76,私立認定こども園,認定こども園 福井佼成幼稚園,ふくいこうせい,福井市春日3丁目1303,0776-35-2413,07:00:00,19:00:00,○,36.051053,136.224248
77,私立認定こども園,みどりこども園,みどり,福井市足羽1丁目22-1,0776-36-2107,07:30:00,18:30:00,○,36.059364,136.207637
78,私立認定こども園,認定こども園 梅圃幼稚園,ばいほ,福井市今市町46-23,0776-38-5811,07:30:00,19:00:00,○,36.017333,136.201747
79,私立認定こども園,認定こども園 栄冠幼稚園,えいかん,福井市大手3丁目15-16,0776-22-4598,07:00:00,19:00:00,○,36.066715,136.218452
80,私立認定こども園,認定こども園 新田塚幼稚園,にったづかようちえん,福井市新田塚2丁目46-26,0776-26-1191,07:00:00,18:30:00,○,36.089094,136.200370
81,私立認定こども園,認定こども園 暁幼稚園,あかつき,福井市久喜津町64-25-1,0776-36-0988,07:30:00,18:30:00,○,36.050071,136.177346
82,私立認定こども園,認定こども園 城之橋幼稚園,じょうのはし,福井市日之出3丁目3-30,0776-22-4859,07:30:00,18:30:00,,36.061760,136.229068
83,私立認定こども園,認定こども園 花園幼稚園,はなぞのようちえん,福井市文京5丁目25-21,0776-26-6310,07:00:00,19:00:00,○,36.079160,136.203280
84,私立認定こども園,聖三一幼稚園,せいさんいち,福井市宝永2丁目5-7,0776-22-3347,07:30:00,18:30:00,○,36.069909,136.226473
85,私立認定こども園,認定こども園　光の子,ひかりのこ,福井市日光2丁目9-7,0776-29-1214,07:30:00,18:30:00,○,36.073299,136.201228
86,私立認定こども園,藤島幼稚園,ふじしまようちえん,福井市経田2丁目512,0776-26-0269,07:30:00,18:30:00,○,36.089208,136.217491
87,私立認定こども園,藤島幼稚園分園,ふじしまぶんえん,福井市新田塚町1104,0776-26-0269,07:30:00,18:30:00,○,36.088698,136.215369
88,私立認定こども園,認定こども園 エンゼル幼稚園,えんぜるようちえん,福井市加茂河原3丁目12-9,0776-36-1209,07:30:00,18:30:00,○,36.063966,136.190750
89,私立認定こども園,尾上幼稚園,おのえ,福井市松本4丁目9-21,0776-22-5791,07:30:00,18:30:00,○,36.073056,136.220669
90,私立認定こども園,常葉幼稚園,ときわ,福井市花月1丁目2-26,0776-22-2824,07:30:00,18:30:00,○,36.069293,136.211482
91,私立認定こども園,高木こども園,たかぎ,福井市高木北4丁目708,0776-54-4303,07:00:00,19:00:00,,36.098138,136.235891
92,私立認定こども園,認定こども園 大和田保育園,おおわだ,福井市大和田町51-9,0776-53-6150,07:00:00,19:00:00,○,36.098627,136.258465
