No.,種別,名称,所在地,電話番号,ＦＡＸ番号,設置主体(法人)の名称,緯度,経度,,,,,,,,,,,,,,,,,,,,
1,指定児童発達支援事業所,ひまわり教室,大島町柳５０６,(０７７６)３６－０５２３,(０７７６)３６－８６９９,社会福祉法人　竹伸会,36.033451,136.207372,,,,,,,,,,,,,,,,,,,,
2,指定児童発達支援事業所,平谷こども発達クリニック　発達支援室,北四ツ居２丁目１４０９,(０７７６)５４－９６５５,(０７７６)５４－９６１０,医療法人　平谷こども発達クリニック,36.067035,136.248040,,,,,,,,,,,,,,,,,,,,
3,指定児童発達支援事業所,ぽると,八重巻中町２５－８,(０７７６)８９－１２５６,(０７７６)８９－１２５６,合同会社　ぽると,36.104794,136.22278,,,,,,,,,,,,,,,,,,,,
4,指定児童発達支援事業所,福井県こども療育センター児童発達支援センターつばさ,四ツ井２丁目８－１,(０７７６)５３－６５７０,(０７７６)５３－６５７６,福井県,36.069337,136.237971,,,,,,,,,,,,,,,,,,,,
5,指定児童発達支援事業所,子ども発達支援センター　フレンズあすわ,大和田１丁目１６０７,(０７７６)５３－３３３０,(０７７６)５３－３３３２,社会福祉法人　足羽福祉会,36.090162,136.251419,,,,,,,,,,,,,,,,,,,,
6,指定児童発達支援事業所,指定通所支援事業所　わっくる,丸山１丁目８０１,(０７７６)４３－０２６１,(０７７６)４３－０２６２,合同会社　はるもにあ・わっくる,36.074131,136.244269,,,,,,,,,,,,,,,,,,,,
7,指定児童発達支援事業所,Ｏｒａｎｇｅ　Ｋｉｄｓ’　Ｃａｒｅ　Ｌａｂ.,灯明寺３丁目３５１１,(０７７６)２１－３３３９,(０７７６)２１－３３３９,一般社団法人　Ｏｒａｎｇｅ　Ｋｉｄｓ’　Ｃａｒｅ　Ｌａｂ.,36.097858,136.211688,,,,,,,,,,,,,,,,,,,,
8,指定児童発達支援事業所,あこおる,石盛町８１１,(０７７６)５６－０３２２,(０７７６)６３－５５７１,あこおる　合同会社,36.116866,136.219882,,,,,,,,,,,,,,,,,,,,
9,指定児童発達支援事業所,くるみの森　つくし野,石盛町１０１２－１,(０７７６)４３－９２７７,(０７７６)４３－９２９９,株式会社　グリーンプラス,36.116517,136.219291,,,,,,,,,,,,,,,,,,,,
10,指定児童発達支援事業所,くるみの森　西谷,西谷１丁目１１２７　グリーンプラスビル２階,(０７７６)９７－５８８９,(０７７６)９７－５８９６,株式会社　グリーンプラス,36.036062,136.208695,,,,,,,,,,,,,,,,,,,,
11,指定児童発達支援事業所,北風と太陽　福井,新保２丁目７０４番地１,(０７７６)８９－１３６６,(０７７６)８９－１３６７,株式会社　かね・だ,36.079995,136.24923,,,,,,,,,,,,,,,,,,,,
12,指定児童発達支援事業所,マザーズ城東,御幸３丁目１０番１号,(０７７６)６３－５６２０,(０７７６)６３－５６５０,有限会社　ハーヴェスト,36.057354,136.236800,,,,,,,,,,,,,,,,,,,,
13,指定児童発達支援事業所,医療法人カンマ　指定通所支援　ミネルヴァ,新田塚２丁目３２番１６号,(０７７６)２３－０５５６,(０７７６)２１－０５５７,医療法人　カンマ,36.089066,136.203834,,,,,,,,,,,,,,,,,,,,
14,指定児童発達支援事業所,ＷＡＬＬＥＳＳ　ＡＣＡＤＥＭＹ,大手３丁目１－１５ ビアンモア大手ビル８階,(０７７６)５０－３６２３,(０７７６)５０－３６２４,株式会社　ＷＡＬＬＥＳＳ,36.063174,136.220358,,,,,,,,,,,,,,,,,,,,
