No.,センター名,所在地1,所在地2,電話番号,担当地区,備考
1,ほやねっと明倫,福井市木田1丁目3308,うららの家内,33-5777,豊・木田,
2,ほやねっとあたご,福井市明里町9-20,あたごデイサービス内,33-6800,足羽・湊,
3,ほやねっと中央北,福井市文京2丁目9-1,松原病院内,28-7271,春山・松本・宝永,
4,ほやねっと不死鳥,福井市日之出4丁目3-12,ふれあい公社内,20-5683,順化・日之出・旭,
5,ほやねっとあずま,福井市和田中町舟橋7-1,福井県済生会病院東館内,28-8511,和田・円山,
6,ほやねっと大東,福井市丸山町40-7,愛全園3階,53-4092,啓蒙・岡保・東藤島,
7,ほやねっと九頭竜,福井市高木中央3丁目1701,グループホームふじしま内,57-0040,中藤島・森田,
8,ほやねっと北,福井市新田塚1丁目42-1,福井総合クリニック内,25-2510,西藤島・明新・河合,
9,ほやねっとみなみ,福井市下荒井町20-6,水谷ビル1階,43-1316,清明・麻生津,
10,ほやねっと社,福井市福1丁目1710,,36-1246,社南・社北・社西,
11,ほやねっと光,福井市大瀬町23字101,東安居苑2階,35-0313,東安居・日新・安居・一光・殿下・清水西・清水東・清水南・清水北・越廼,
12,ほやねっと川西,福井市仙町6-4,旧宮ノ下公民館,97-8003,大安寺・国見・棗・鷹巣・鶉・本郷・宮ノ下,
13,ほやねっと東足羽,福井市下六条町217,厚生健康福祉センター内,41-4135,酒生・一乗・六条・東郷・上文殊・文殊・美山,
14,【すいだに相談所】,福井市椙谷町12-9-2,,90-3858,酒生・一乗・六条・東郷・上文殊・文殊・美山,「ほやねっと東足羽」のブランチ（支部）です。
