No.,名称,所在地,電話番号,ＦＡＸ番号,種別(入),主な対象者(身体),主な対象者(知的),主な対象者(精神),主な対象者(障害児),種別(昼),主な対象者(身体)2,主な対象者(知的)2,主な対象者(精神)2,主な対象者(障害児)2,設置主体(法人)の名称,緯度,経度
1,九頭竜ワークショップ七瀬の郷,燈豊町４３字才田９番３,(０７７６)８３－０１５２,(０７７６)８３－０１５３,施設入所支援,●,,,,生活介護,●,,,,社会福祉法人　九頭竜厚生事業団,36.122149,136.136958
2,足羽更生園,宿布町１９－４６－１,(０７７６)４１－３１２０,(０７７６)４１－３４９２,施設入所支援,●,●,●,,生活介護,,●,,,社会福祉法人　足羽福祉会,36.013030,136.303981
3,すだちの家,東大味町９－１５,(０７７６)４１－３９５０,(０７７６)４１－３９３５,施設入所支援,,●,,,生活介護,,●,,,社会福祉法人　すいせんの里,35.994519,136.259900
4,福井美山荘,市波町５４－２５,(０７７６)９６－４１１５,(０７７６)９６－４４４１,施設入所支援,●,,,,"自立訓練（機能訓練）,生活介護",●,,,,社会福祉法人　ふくい福祉事業団,36.017986,136.326539
5,若越ひかりの村　第一生活支援施設,島寺６７－３０,(０７７６)９８－３６００,(０７７６)９８－３６４２,施設入所支援,,●,,,生活介護,,●,,,社会福祉法人　ふくい福祉事業団,36.018221,136.140638
6,若越ひかりの村　第二生活支援施設,島寺６７－３０,(０７７６)９８－３６００,(０７７６)９８－３６４２,施設入所支援,,●,,,生活介護,,●,,,社会福祉法人　ふくい福祉事業団,36.018380,136.139834
7,若越ひかりの村　第三生活支援施設,島寺６７－３０,(０７７６)９８－３６００,(０７７６)９８－３６４２,施設入所支援,,●,,,生活介護,,●,,,社会福祉法人　ふくい福祉事業団,36.018706,136.138955
8,若越ひかりの村　第四生活支援施設,島寺６７－３０,(０７７６)９８－３６００,(０７７６)９８－３６４２,施設入所支援,,●,,,生活介護,,●,,,社会福祉法人　ふくい福祉事業団,36.018706,136.138955
