No.,事業所番号,サービス種類名,事業所名,事業所郵便番号,事業所住所,事業所電話番号,申請者名,緯度,経度
1,1870100177,特定施設入居者生活介護,藤島園,910-0804,福井市高木中央3丁目1701番地,0776-52-8200,社会福祉法人 藤島会,36.091966,136.239487
2,1870100201,特定施設入居者生活介護,特定有料老人ホーム リバティーハウスあさくら,918-8135,福井市下六条町18-35-1,0776-41-8400,社会福祉法人 一乗谷友愛会,36.035240,136.229026
3,1870101027,特定施設入居者生活介護,アーバン・ヴィラ・ロータス,910-0005,福井市大手2丁目3番1号,0776-28-0068,社会福祉法人 慈豊会,36.064238,136.223983
4,1870101191,特定施設入居者生活介護,ケアハウス日光,910-0029,福井市日光1丁目1番1号,0776-28-1122,医療法人 穂仁会,36.071299,136.204047
5,1870101472,特定施設入居者生活介護,有料老人ホーム あんしん村,918-8205,福井市北四ツ居2丁目7－17,0776-54-2931,有限会社 あんしん村グループ,36.066496,136.245472
6,1870101928,特定施設入居者生活介護,ラフィナート浅水,918-8183,福井市浅水三ケ町1字29－1,0776-39-1165,社会福祉法人 白山会,36.004565,136.204512
7,1870102652,特定施設入居者生活介護,ケアハウス九頭竜,910-0801,福井市寺前町4－14－2,0776-53-3933,社会福祉法人 福泉会,36.101189,136.235621
8,1870102843,特定施設入居者生活介護,ル・レーヴほのか,918-8005,福井市みのり1丁目5－16,0778-34-6776,社会福祉法人 慶秀会,36.049614,136.217168
9,1870102975,特定施設入居者生活介護,コーピアせいめい,918-8152,福井市今市町65字池田11番1号,0776-38-6515,社会福祉法人 白山会,36.022123,136.209738
10,1870103106,特定施設入居者生活介護,すずらん,910-0843,福井市西開発3丁目306番地,0776-52-0039,社会福祉法人 町屋福祉会,36.083838,136.235646
11,1870103353,特定施設入居者生活介護,県民せいきょう江守きらめき,918-8025,福井市江守中町第2号12番地,0776-35-0660,福井県民生活協同組合,36.037205,136.198937
12,1870103627,特定施設入居者生活介護,アーク向陽,910-0126,福井市定正1丁目1325,0776-56-4560,社会福祉法人向陽会,36.117836,136.227566
13,1870103643,特定施設入居者生活介護,ケアハウス モアヤング,918-8235,福井市和田中町東沖田30番地の1,0776-28-3737,社会福祉法人 祥穂会,36.050451,136.257518
14,1870103890,特定施設入居者生活介護,一乗ふれ愛園,918-8131,福井市小稲津町102-3,0776-41-0131,社会福祉法人　光明寺福祉会,36.034826,136.235701
15,1870103932,特定施設入居者生活介護,アスピカケアセンターまびぃ～Ma‣Vie～開発 ,910-0842,福井市開発5丁目101-1,0776-53-7777,株式会社　アスピカ,36.085176,136.237647
16,1870100177,介護予防特定施設入居者生活介護,藤島園,910-0804,福井市高木中央3丁目1701番地,0776-52-8200,社会福祉法人 藤島会,36.091966,136.239487
17,1870100201,介護予防特定施設入居者生活介護,特定有料老人ホーム リバティーハウスあさくら,918-8135,福井市下六条町18-35-1,0776-41-8400,社会福祉法人 一乗谷友愛会,36.035240,136.229026
18,1870101027,介護予防特定施設入居者生活介護,アーバン・ヴィラ・ロータス,910-0005,福井市大手2丁目3番1号,0776-28-0068,社会福祉法人 慈豊会,36.064238,136.223983
19,1870101191,介護予防特定施設入居者生活介護,ケアハウス日光,910-0029,福井市日光1丁目1番1号,0776-28-1122,医療法人 穂仁会,36.071299,136.204047
20,1870101472,介護予防特定施設入居者生活介護,有料老人ホーム あんしん村,918-8205,福井市北四ツ居2丁目7－17,0776-54-2931,有限会社 あんしん村グループ,36.066496,136.245472
21,1870101928,介護予防特定施設入居者生活介護,ラフィナート浅水,918-8183,福井市浅水三ケ町1字29－1,0776-39-1165,社会福祉法人 白山会,36.004565,136.204512
22,1870102652,介護予防特定施設入居者生活介護,ケアハウス九頭竜,910-0801,福井市寺前町4－14－2,0776-53-3933,社会福祉法人 福泉会,36.101189,136.235621
23,1870102843,介護予防特定施設入居者生活介護,ル・レーヴほのか,918-8005,福井市みのり1丁目5－16,0778-34-6776,社会福祉法人 慶秀会,36.049614,136.217168
24,1870103106,介護予防特定施設入居者生活介護,すずらん,910-0843,福井市西開発3丁目306番地,0776-52-0039,社会福祉法人 町屋福祉会,36.083838,136.235646
25,1870103627,介護予防特定施設入居者生活介護,アーク向陽,910-0126,福井市定正1丁目1325,0776-56-4560,社会福祉法人向陽会,36.117836,136.227566
26,1870103643,介護予防特定施設入居者生活介護,ケアハウス モアヤング,918-8235,福井市和田中町東沖田30番地の1,0776-28-3737,社会福祉法人 祥穂会,36.050451,136.257518
