No.,名称,所在地,電話番号,ＦＡＸ番号,主な対象者(身体),主な対象者(知的),主な対象者(精神),設置主体(法人)の名称,緯度,経度
1,ワークあけぼの,河水町５－１－１,(０７７６)５２－５５７５,(０７７６)５２－５５８５,●,●,,社会福祉法人　竹伸会,36.055587,136.275201
2,"障害者就労支援事業所
「夢つづきの家」",月見２丁目１０－１,(０７７６)３３－３７６０,(０７７６)３３－３７６１,●,●,●,社会福祉法人　慶長会,36.045595,136.214778
3,"若越ひかりの村　
就労系多機能型事業所　なないろ",島寺町６７－３０,(０７７６)９８－３６００,(０７７６)９８－３６４２,,●,,社会福祉法人　ふくい福祉事業団,36.018715,136.140336
4,前進主義　ふくい　移行支援,菅谷２丁目７－５,(０７７６)９７－９００３,(０７７６)９７－９０１３,●,●,●,株式会社　スタンドトゥギャザー,36.072157,136.192721
5,ＦＬＡＰ,中央１丁目２１－３７リベラルアーツ３階３０２,(０７７６)６３－５３４１,(０７７６)６３－５３４２,●,●,●,一般社団法人　タクティクス福井,36.060485,136.220153
6,ＷＡＬＬＥＳＳ　ＪＯＢＴＯＲＥ,大手３丁目１－１５ ビアンモア大手ビル８階,(０７７６)８８－０６１０,(０７７６)８８－０６１１,●,●,●,株式会社　ＷＡＬＬＥＳＳ,36.063174,136.220358
7,パステル,御幸４丁目１８０６,(０７７６)８９－１５５８,(０７７６)８９－１５５７,●,●,●,社会福祉法人　足羽福祉会,36.056684,136.240309
8,前進主義AOSSA,福井市手寄１丁目４－１AOSSA2階,０５０－３５０１－７４４０,,●,●,●,株式会社　スタンドトゥギャザー,36.060597,136.223467
