タイトル,カテゴリー,src_title,src,XLSファイル,RDFファイル,データ概要,データ提供所属,データ最終更新日,関連ページ,備考,CSV,緯度経度データ,HTML
指定就労定着支援事業所一覧,福祉・衛生・教育,福井市オープンデータパーク（福祉・衛生・教育）,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973.html,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973_d/fil/ssyuurouteityaku.xls,http://linkdata.org/work/rdf1s8091i,福井市の指定就労定着支援事業所の一覧,障がい福祉課,2024年4月1日,http://www.city.fukui.lg.jp/fukusi/sfukusi/service/p020932.html,2024年4月1日現在の一覧。,./csv/ssyuurouteityaku.csv,1,./html/ssyuurouteityaku.html
指定自立生活援助事業所一覧,福祉・衛生・教育,福井市オープンデータパーク（福祉・衛生・教育）,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973.html,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973_d/fil/sziritsuseikatsu.xls,http://linkdata.org/work/rdf1s8902i,福井市の指定自立生活援助事業所の一覧,障がい福祉課,2024年4月1日,http://www.city.fukui.lg.jp/fukusi/sfukusi/service/p020932.html,2024年4月1日現在の一覧に位置情報を付加しています。,./csv/sziritsuseikatsu.csv,1,./html/sziritsuseikatsu.html
指定共同生活援助事業所一覧,福祉・衛生・教育,福井市オープンデータパーク（福祉・衛生・教育）,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973.html,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973_d/fil/skyoudouseikatsu.xls,http://linkdata.org/work/rdf1s8092i,福井市の指定共同生活援助事業所の一覧,障がい福祉課,2024年4月1日,http://www.city.fukui.lg.jp/fukusi/sfukusi/service/p020932.html,2024年4月1日現在の一覧。,./csv/skyoudouseikatsu.csv,1,./html/skyoudouseikatsu.html
指定障害者支援施設一覧,福祉・衛生・教育,福井市オープンデータパーク（福祉・衛生・教育）,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973.html,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973_d/fil/sshienshisetsu.xls,http://linkdata.org/work/rdf1s8093i,福井市の指定障害者支援施設の一覧,障がい福祉課,2024年4月1日,http://www.city.fukui.lg.jp/fukusi/sfukusi/service/p020932.html,2024年4月1日現在の一覧。,./csv/sshienshisetsu.csv,1,./html/sshienshisetsu.html
指定障害児通所支援事業所一覧,福祉・衛生・教育,福井市オープンデータパーク（福祉・衛生・教育）,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973.html,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973_d/fil/ssyougaizitsuusyo.xls,http://linkdata.org/work/rdf1s8094i,福井市の指定障害児通所支援事業所の一覧,障がい福祉課,2024年4月1日,http://www.city.fukui.lg.jp/fukusi/sfukusi/service/p020932.html,2024年4月1日現在の一覧,./csv/ssyougaizitsuusyo.csv,1,./html/ssyougaizitsuusyo.html
旅館業施設一覧,福祉・衛生・教育,福井市オープンデータパーク（福祉・衛生・教育）,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973.html,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973_d/fil/ryokan.xls,http://linkdata.org/work/rdf1s9919i,福井市の旅館業許可施設一覧,生活衛生課,2025年2月28日,http://www.city.fukui.lg.jp/dept/d245/seikatu/index.html,2025年2月28日現在の旅館業施設（旅館・ホテル営業、簡易宿泊所営業）の一覧,./csv/ryokan.csv,1,./html/ryokan.html
食品営業許可施設一覧,福祉・衛生・教育,福井市オープンデータパーク（福祉・衛生・教育）,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973.html,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973_d/fil/syokuhineigyou.xls,http://linkdata.org/work/rdf1s8113i,福井市の食品営業許可施設の一覧,生活衛生課,2025年2月28日,http://www.city.fukui.lg.jp/dept/d245/seikatu/index.html,2025年2月28日時点の食品営業許可施設一覧(臨時・露店・自動販売機・自動車等を除く固定店舗のみ）です。,./csv/syokuhineigyou.csv,0,./html/syokuhineigyou.html
介護保険施設一覧,福祉・衛生・教育,福井市オープンデータパーク（福祉・衛生・教育）,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973.html,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973_d/fil/kshisetsu.xls,http://linkdata.org/work/rdf1s8241i,福井市の介護保険施設の一覧,介護保険課,2025年4月23日,http://www.city.fukui.lg.jp/fukusi/kaigo/service/jigyousya.html,"2025年4月23日時点の介護保険施設(介護老人福祉施設、介護老人保健施設、
        介護療養型医療施設、介護医療院）の一覧です。",./csv/kshisetsu.csv,1,./html/kshisetsu.html
特定施設一覧,福祉・衛生・教育,福井市オープンデータパーク（福祉・衛生・教育）,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973.html,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973_d/fil/ktokutei.xls,http://linkdata.org/work/rdf1s8242i,福井市の特定施設の一覧,地域包括ケア推進課,2022年3月23日,http://www.city.fukui.lg.jp/fukusi/kaigo/service/jigyousya.html,"2022年3月23日時点の特定施設(介護予防特定施設入居者生活介護、            
        特定施設入居者生活介護を行う施設）の一覧です。",./csv/ktokutei.csv,1,./html/ktokutei.html
地域密着型老人福祉施設一覧,福祉・衛生・教育,福井市オープンデータパーク（福祉・衛生・教育）,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973.html,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973_d/fil/kchiiki.xls,http://linkdata.org/work/rdf1s8243i,福井市の地域密着型老人福祉施設の一覧,介護保険課,2024年4月1日,http://www.city.fukui.lg.jp/fukusi/kaigo/service/jigyousya.html,"2023年3月31日時点の地域密着型老人福祉施設(地域密着型介護老人福祉     
        施設入所者生活介護を行う施設)の一覧です。",./csv/kchiiki.csv,1,./html/kchiiki.html
グループホーム一覧,福祉・衛生・教育,福井市オープンデータパーク（福祉・衛生・教育）,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973.html,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973_d/fil/kgroup.xls,http://linkdata.org/work/rdf1s8244i,福井市のグループホームの一覧,介護保険課,2024年4月1日,http://www.city.fukui.lg.jp/fukusi/kaigo/service/jigyousya.html,"2024年4月1日時点のグループホーム(介護予防認知症対応型共同生活介護、
        認知症対応型共同生活介護を行う施設）の一覧です。",./csv/kgroup.csv,1,./html/kgroup.html
新型コロナウイルス感染症陽性者数,福祉・衛生・教育,福井市オープンデータパーク（福祉・衛生・教育）,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973.html,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973_d/fil/covidkansensya.xlsx,http://linkdata.org/work/rdf1s8714i,福井市内の新型コロナウイルス感染症の公表日別陽性者人数（毎月上旬更新）,行政DX推進課,2022年7月7日,https://www.pref.fukui.lg.jp/doc/toukei-jouhou/covid-19.html,"福井県保健予防課が公表している新型コロナウイルス感染症情報のオープンデータを参照しています。

        居住地が福井市と公表されているものを合算し、人数を算出しています。

        令和4年9月より発生届の範囲が限定されたことにより更新を終了しました。",./csv/covidkansensya.csv,0,./html/covidkansensya.html
医療施設数,福祉・衛生・教育,福井市オープンデータパーク（福祉・衛生・教育）,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973.html,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973_d/fil/iryoushisetsu.xlsx,http://linkdata.org/work/rdf1s8715i,福井市内の医療施設数（毎年3月更新）,行政DX推進課,2025年3月31日,https://www.city.fukui.lg.jp/sisei/tokei/fukuisi/p002857.html,福井市統計書「11-1 医療施設数」のデータを参照しています。,./csv/iryoushisetsu.csv,0,./html/iryoushisetsu.html
診療所一覧,福祉・衛生・教育,福井市オープンデータパーク（福祉・衛生・教育）,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973.html,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973_d/fil/hospital.xlsx,http://linkdata.org/work/rdf1s9782i,福井市内の診療所一覧,保健企画課,2025年3月31日,,2024年3月1日時点の診療所一覧,./csv/hospital.csv,1,./html/hospital.html
医療従事者数,福祉・衛生・教育,福井市オープンデータパーク（福祉・衛生・教育）,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973.html,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973_d/fil/iryouzyuuzisya.xlsx,http://linkdata.org/work/rdf1s8716i,福井市内の医療従事者数（毎年3月更新）,行政DX推進課,2024年4月1日,https://www.city.fukui.lg.jp/sisei/tokei/fukuisi/p002857.html,福井市統計書「11-2 医療従事者数」のデータを参照しています。,./csv/iryouzyuuzisya.csv,0,./html/iryouzyuuzisya.html
